  0%|                                                                                                                                                                                     | 0/203 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 203/203 [00:11<00:00, 17.36it/s]
{'loss': 4.3505, 'grad_norm': 1.3529850244522095, 'learning_rate': 9.55665024630542e-05, 'epoch': 0.05}
{'loss': 4.2279, 'grad_norm': 2.420154571533203, 'learning_rate': 9.064039408866995e-05, 'epoch': 0.1}
{'loss': 4.0886, 'grad_norm': 1.4014520645141602, 'learning_rate': 8.571428571428571e-05, 'epoch': 0.15}
{'loss': 4.0999, 'grad_norm': 2.27519154548645, 'learning_rate': 8.078817733990148e-05, 'epoch': 0.2}
{'loss': 3.8655, 'grad_norm': 1.9107611179351807, 'learning_rate': 7.586206896551724e-05, 'epoch': 0.25}
{'loss': 4.1274, 'grad_norm': 3.2275941371917725, 'learning_rate': 7.093596059113302e-05, 'epoch': 0.3}
{'loss': 3.9507, 'grad_norm': 2.747556209564209, 'learning_rate': 6.600985221674877e-05, 'epoch': 0.34}
{'loss': 4.1413, 'grad_norm': 2.01918363571167, 'learning_rate': 6.108374384236453e-05, 'epoch': 0.39}
{'loss': 3.9194, 'grad_norm': 4.688582420349121, 'learning_rate': 5.61576354679803e-05, 'epoch': 0.44}
{'loss': 3.7994, 'grad_norm': 1.8330708742141724, 'learning_rate': 5.123152709359606e-05, 'epoch': 0.49}
{'loss': 4.0932, 'grad_norm': 2.482600688934326, 'learning_rate': 4.630541871921182e-05, 'epoch': 0.54}
{'loss': 3.9624, 'grad_norm': 3.020698070526123, 'learning_rate': 4.1379310344827587e-05, 'epoch': 0.59}
{'loss': 3.9386, 'grad_norm': 2.3555188179016113, 'learning_rate': 3.645320197044335e-05, 'epoch': 0.64}
{'loss': 3.889, 'grad_norm': 2.375775098800659, 'learning_rate': 3.152709359605912e-05, 'epoch': 0.69}
{'loss': 4.0043, 'grad_norm': 3.1600396633148193, 'learning_rate': 2.660098522167488e-05, 'epoch': 0.74}
{'loss': 3.8903, 'grad_norm': 2.8489274978637695, 'learning_rate': 2.1674876847290644e-05, 'epoch': 0.79}
{'loss': 3.9895, 'grad_norm': 3.918121099472046, 'learning_rate': 1.6748768472906403e-05, 'epoch': 0.84}
{'loss': 3.7907, 'grad_norm': 2.108459949493408, 'learning_rate': 1.2315270935960592e-05, 'epoch': 0.89}
{'loss': 3.9951, 'grad_norm': 1.9895087480545044, 'learning_rate': 7.3891625615763555e-06, 'epoch': 0.94}
{'loss': 4.056, 'grad_norm': 2.1074976921081543, 'learning_rate': 2.4630541871921186e-06, 'epoch': 0.99}
{'train_runtime': 12.9461, 'train_samples_per_second': 31.361, 'train_steps_per_second': 15.68, 'train_loss': 4.008698796991057, 'epoch': 1.0}
